id,name,address,tel,category,main_mn,price,menu,opng_tm,rating,rvw_cnt,tags,img
None,스트라이크존 서울 논현구장,서울 강남구 논현동 165,0504-3142-0882,스크린야구장,None,"60분 53,800원",None,None,3.88,None,"['치킨', '데이트', '게임장', '재미있는', '볼링']",http://ldb.phinf.naver.net/20160411_201/1460364961066l3EyL_JPEG/176361578578529_0.jpeg
None,제이앤드제이골프아카데미,서울 강남구 논현동 152-5,02-515-0953,스크린골프장,None,,None,None,4.58,None,None,http://ldb.phinf.naver.net/20200630_97/1593509205297nz24G_JPEG/kq8GYnOZh_qSiLQXAJ-6i27N.jpg
None,삼성피트니스,서울 강남구 삼성동 117,1670-9699,헬스장,None,,None,None,None,None,"['휴식', '혼자']",http://ldb.phinf.naver.net/20151230_33/145145014872742H7j_PNG/167180536568585_1.png
None,유디알 멤버스골프 역삼점,서울 강남구 역삼동 722,070-8676-1111,스크린골프장,None,,None,None,None,None,None,http://ldb.phinf.naver.net/20190719_185/1563512880553PKv3K_JPEG/wXdbzJAXrQoy-VvA79ccvf6D.jpg
None,강남세브란스병원 비자검진센터,서울 강남구 역삼동 786-19,02-2019-1207,병원부속시설,None,,None,None,3.67,None,None,None
None,행복골프학교,서울 강남구 삼성동 151-7 싹아트센터 5층,02-565-0329,골프연습장,None,,None,None,4.67,None,None,http://ldb.phinf.naver.net/20191007_191/15704245802633wM8U_JPEG/1299WzTt4aj6FX5Q95Ojbm8I.jpg
None,럭셔리스크린골프 청담점,서울 강남구 청담동 49-5 신한오피스텔 지하 1층,02-540-5353,스크린골프장,None,,None,None,4.88,None,None,http://ldb.phinf.naver.net/20200613_215/1592033656324qTqIf_JPEG/4HP8YaoegZFbmktIOSpFma4D.jpg
None,오렌지9스크린센터,서울 강남구 역삼동 652-10,02-508-1251,스크린골프장,None,,None,None,4.17,None,None,http://ldb.phinf.naver.net/20200904_246/1599197501589Jl65z_PNG/lzk7vd93uoBQPZLaNWatIkzT.png
None,훈골프아카데미,서울 강남구 도곡동 895-8,02-571-9486,실내골프연습장,None,,None,None,None,None,None,http://ldb.phinf.naver.net/20170707_258/1499397604020LFRNo_JPEG/186657525023_0.JPG
None,비다펠리즈 스크린골프,서울 강남구 삼성동 161-17,02-555-1020,스크린골프장,None,,None,None,None,None,None,None
None,명인스크린골프,서울 강남구 역삼동 751-1 명인갤러리 지하 1층,02-566-6078,스크린골프장,None,,None,None,4.16,None,None,http://ldb.phinf.naver.net/20180610_300/1528617032105FtIb5_JPEG/hv2IqvmuoVrFV0DcbmCAjx1y.jpg
None,더프라자 골프 학동점,서울 강남구 논현동 86-1 아이캐슬빌딩 지하1층,02-511-6732,실내골프연습장,None,,None,None,None,None,None,http://ldb.phinf.naver.net/20200218_185/1582001936915Sr4FV_JPEG/PXMiarmOQm_Ywqgt6sKES0A9.JPG.jpg
None,공브라더스골프아카데미 본점,서울 강남구 논현동 231-4,02-545-2012,스크린골프장,None,,None,None,None,None,None,http://ldb.phinf.naver.net/20190213_48/1550036494097k26aY_JPEG/%BD%E6%B3%D7%C0%CF%28%C1%A4%BB%E8%B0%A2%C7%FC%29.jpg
None,레몬스크린골프,서울 강남구 대치4동 890-54 풍림아이원 지하 1층,02-522-0753,스크린골프장,None,,None,None,4.57,None,None,http://ldb.phinf.naver.net/20160226_177/1456494905672qOaUI_JPEG/176176628524435_0.jpeg
None,톡스크린골프,서울 강남구 역삼동 726-2,02-558-5051,스크린골프장,None,,None,None,4.86,None,"['럭셔리한', '컨트리클럽', '케이크']",http://ldb.phinf.naver.net/20180503_113/1525324914532yFlcN_JPEG/WEaGm3nHdceriHnQQ88IeTXX.jpg
None,골프존파크 대치점,서울 강남구 대치동 984 로얄빌딩 지하 1층,02-566-1872,스크린골프장,None,,None,None,4.7,None,None,http://ldb.phinf.naver.net/20150831_176/1440991808386kekR0_GIF/106668408331178_0.gif
None,라운지 스크린골프,서울 강남구 역삼동 668-5,02-565-0753,스크린골프장,None,,None,None,None,None,None,http://ldb.phinf.naver.net/20150901_101/14411178128133XOHj_JPEG/31037291_0.jpg
None,모비딕스크린골프,서울 강남구 역삼동 707-2 비젼타워 지하1층,02-557-5050,스크린골프장,None,,None,None,4.26,None,None,http://ldb.phinf.naver.net/20200623_142/1592903091391MDv5s_JPEG/tEAbtiVKo7gTb-ceS9GG6hrp.jpg
None,이지골프스튜디오,서울 강남구 대치동 1022 지하1층,010-2645-4666,스크린골프장,None,,None,None,None,None,None,http://ldb.phinf.naver.net/20200521_293/1589990835660BKYIl_JPEG/5eyQhXcqEbHY1YAgYg51_--O.jpg
None,GDR골프아카데미 역삼점,서울 강남구 역삼동 840-8,02-6284-0021,골프연습장,None,,None,None,4,None,None,http://ldb.phinf.naver.net/20150902_41/1441121084964VeuRi_JPEG/SUBMIT_1401507108424_35051267.jpg
None,골프존파크 청담CC,서울 강남구 청담동 68-19,02-543-1888,스크린골프장,None,,None,None,4.44,None,None,http://ldb.phinf.naver.net/20200724_266/1595600726349arPPr_JPEG/8tVl-yBGY2MURQGWQe-Fdvw2.jpg
None,랜드스크린골프,서울 강남구 논현동 239-4 신우빌딩 B1층,02-512-1482,스크린골프장,None,,None,None,3.78,None,None,http://ldb.phinf.naver.net/20200319_27/15845939910913WU1l_PNG/EXfrW5YHFHPY3xVw2DCbIOwN.png
None,스위트캐슬스파,서울 강남구 역삼동 603-5,010-9798-4620,"목욕탕,사우나",None,,None,None,4.4,None,None,http://ldb.phinf.naver.net/20191201_269/15751829554242GcJ1_JPEG/06Rb0m0PW-utRK8YpHagqDzh.jpeg.jpg
None,공브라더스골프아카데미 역삼점,서울 강남구 역삼동 831-18,02-562-2012,스크린골프장,None,,None,None,4.83,None,None,http://ldb.phinf.naver.net/20190213_103/1550039549079GDsJ0_JPEG/%BD%E6%B3%D7%C0%CF%28%C1%A4%BB%E8%B0%A2%C7%FC%29.jpg
None,힐링스크린골프존,서울 강남구 도곡동 546 성환빌딩지하1층,02-529-1300,스크린골프장,None,,None,None,4.43,None,None,http://ldb.phinf.naver.net/20150831_217/1441029529639kKlKN_JPEG/SUBMIT_1392457700483_12850686.jpg
None,버디버디스크린골프,서울 강남구 논현동 85-14,02-6949-0886,스크린골프장,None,,None,None,4.9,None,None,http://ldb.phinf.naver.net/20200808_245/1596814895568imtoV_JPEG/y1NpRSvzShIlKNJYPbMeUboY.jpeg.jpg
None,BNJ스크린골프,서울 강남구 삼성동 9-22,02-516-9968,스크린골프장,None,,None,None,4.07,None,None,http://ldb.phinf.naver.net/20190104_12/1546582727214MwLFo_JPEG/ZKUOaBg0lBXtiokrzUz8qKiy.jpeg.jpg
None,골프존파크 신사압구정역점,서울 강남구 신사동 585-13,02-3445-3985,스크린골프장,None,,None,None,4.35,None,None,http://ldb.phinf.naver.net/20190127_52/1548578419439banCv_JPEG/WdgRXd5ocwJ1Vpb1a6WKngv4.jpg
None,골프존파크 논현토너먼트점,서울 강남구 논현동 203,02-3446-0753,스크린골프장,None,,None,None,4.33,None,None,http://ldb.phinf.naver.net/20170201_33/1485930581591pEDXf_JPEG/186151555961011_0.jpeg
None,모모스크린골프,서울 강남구 신사동 572-2,02-515-1714,스크린골프장,None,,None,None,4.08,None,None,http://ldb.phinf.naver.net/20170110_85/1484016838796hpdH8_JPEG/186060518378680_0.jpeg
None,토마토스크린골프존,서울 강남구 역삼동 721-9,010-2962-2844,스크린골프장,None,,None,None,4.94,None,None,http://ldb.phinf.naver.net/20200701_141/1593599965911bv5OY_JPEG/4cGJl0foR0RSh816oIj0SjTj.JPG.jpg
None,스매싱볼 강남점,서울 강남구 역삼동 808-5 충림빌딩,02-556-2231,볼링장,None,,None,None,4.06,None,"['볼링장', '락볼링', '펍', '화려한', '데이트']",http://ldb.phinf.naver.net/20191026_34/157205794001273x6C_JPEG/DxQxNxUMwSGZcPQbJ-acx50o.jpg
None,가인볼링장,서울 강남구 삼성동 164,02-566-9389,볼링장,None,,None,None,4.4,None,"['볼링장', '락볼링', '데이트', '게임장', '치킨']",http://ldb.phinf.naver.net/20160503_99/1462239940398ugGwW_PNG/176372557075932_0.png
None,역삼볼링시티,서울 강남구 역삼동 722,02-553-5670,볼링장,None,,None,None,4.09,None,None,http://ldb.phinf.naver.net/20190318_63/1552878432301YqCCq_JPEG/OysBB_UN7ee2jGCOCCCIkcae.jpg
None,글로우 스트라이크,서울 강남구 논현동 62-3,070-7685-7685,볼링장,None,,None,None,4.17,None,None,http://ldb.phinf.naver.net/20181028_262/1540706587214vBqq1_JPEG/5N3CvYrG63maAVNxnA8SBkOQ.JPG.jpg
None,스매싱볼 청담점,서울 강남구 청담동 85-4,02-546-2231,볼링장,None,,None,None,4,None,None,http://ldb.phinf.naver.net/20191021_261/1571649301490G5Chr_JPEG/qAL9OjCikNxJwiG_wOc_QHeY.jpg
None,라인볼링장,서울 강남구 역삼동 837-36,02-555-4199,볼링장,None,,None,None,4.39,None,None,http://blogfiles.naver.net/MjAxODAyMDNfMjYz/MDAxNTE3NjU5MTE0MTE3.WGXqKeDqcvYkWtwzWrQM66fgW5IuMm5eKj1LbZtI-7gg.Q_Q-389NAkgxWZ34RpPHoQtoqzq_NSRRIQn78-wgfGAg.JPEG.sherlocked_221b/IMG_8746.jpg#900x675
None,스타24시볼링장,서울 강남구 논현동 152-5,02-512-1797,볼링장,None,,None,None,4.68,None,None,None
None,삼성볼링장,서울 강남구 대치동 1006-2,None,볼링장,None,,None,None,None,None,None,None
None,오즈쓰리팝 PC방,서울 강남구 논현동 200,070-7762-2338,PC방,None,,None,None,4.26,None,None,http://ldb.phinf.naver.net/20180806_43/1533541394078Xx2iH_JPEG/wSOmC5kTsNyfzux_6Z_L5Vaf.jpg
None,오즈PC방 강남역점,서울 강남구 역삼동 819,070-4772-5242,PC방,None,,None,None,3.82,None,None,http://ldb.phinf.naver.net/20190527_68/1558943163217YV7PL_JPEG/sC0EAaHWfKAaEayIi7KqfhJV.jpg
None,WDG PC방,서울 강남구 논현동 201-14,070-8848-4070,PC방,None,,None,None,4.38,None,None,http://ldb.phinf.naver.net/20181018_148/1539843616723K2Ah7_PNG/BMDDaegLEJxF3SNKcLgdwKN_.png
None,게임이너스 강남역점,서울 강남구 역삼동 816-4 지하 1층,070-4349-3273,PC방,None,,None,None,4.15,None,None,http://ldb.phinf.naver.net/20181018_71/15398743360554Nnyk_JPEG/-N9xObT85CqJxdiU109SXszs.jpg
None,게임이너스 강남이스포츠점,서울 강남구 역삼동 826-21,02-567-3273,PC방,None,,None,None,4,None,None,http://ldb.phinf.naver.net/20180212_142/1518427565967kfqc8_JPEG/sQBo4wmoryLlzTEcQ5LHEN2h.jpg
None,INTERPARKPC,서울 강남구 논현동 176-21,None,PC방,None,,None,None,4.48,None,None,http://ldb.phinf.naver.net/20191222_98/1576969980939KF0OY_JPEG/kdhsdd0EoIvylJlaXtmzCSWj.jpg
None,긱스타PC & 올툰만화카페 선릉점,서울 강남구 역삼동 697-11,070-4618-0707,PC방,None,,None,None,4.33,None,None,http://ldb.phinf.naver.net/20180628_164/1530182657490TxRyg_JPEG/RPYMbMDLu1FojeZuOejMGKAs.jpg
None,3POP 강남점,서울 강남구 역삼동 822-2 지하 1층,None,PC방,None,,None,None,4.34,None,None,http://ldb.phinf.naver.net/20200127_71/1580129271543qKQ9I_JPEG/1UgDc42jqR60F6j-ZWqj5Ra-.jpg
None,셰프PC방 강남점,서울 강남구 역삼동 825-20,010-4084-4494,PC방,None,,None,None,4.5,None,None,http://ldb.phinf.naver.net/20200615_215/1592205904673fX6Mt_JPEG/POHLbfp21FQIFbXaFIJ_H5XF.jpg
None,아이리스PC방 강남점,서울 강남구 역삼동 823-14,010-2015-2434,PC방,None,,None,None,4.61,None,None,http://ldb.phinf.naver.net/20191020_116/1571542551112VggWX_JPEG/kOI8AXAn3CAZFe3Hwf2_5PCi.jpg
None,게임이너스 양재점,서울 강남구 도곡동 957-14 하늘빌딩 지하1층,02-573-3273,PC방,None,,None,None,4.21,None,None,http://ldb.phinf.naver.net/20181022_223/1540204624587DieIV_JPEG/0w7PvvUsEQiQybO1QFMhvjQu.jpg
None,아이센스리그PC 압구정점,서울 강남구 신사동 660-2,None,PC방,None,,None,None,4.35,None,None,http://ldb.phinf.naver.net/20191025_61/1571998258403bGPVy_JPEG/LEtW82xa_49Q4Br4v3ZEumuX.jpg
None,피씨앤쿡,서울 강남구 역삼동 672-37,02-557-7674,PC방,None,,None,None,4.5,None,None,http://ldb.phinf.naver.net/20160202_279/1454350779116jlFzd_JPEG/176152434958113_0.jpeg
None,쇼타임PC방,서울 강남구 신사동 664,02-5454-5454,PC방,None,,None,None,4.12,None,None,http://ldb.phinf.naver.net/20191010_234/1570709671816DRwj5_JPEG/LZQsXuvJbNZCPPPi8sJPlHcw.jpg
None,반트  PC,서울 강남구 대치동 1021-2,None,PC방,None,,None,None,4.86,None,None,http://ldb.phinf.naver.net/20170213_127/1486971296997BVED7_JPEG/186163566476032_0.jpeg
None,탑플레이스PC방 강남언주역점,서울 강남구 논현동 234 M빌딩 지하1층,070-8778-8912,PC방,None,,None,None,4.43,None,None,http://ldb.phinf.naver.net/20190315_211/1552639956382J5CJ5_JPEG/0U3TLilL3SDBhSdfBtPmPieb.JPG.jpg
None,PICK PC방,서울 강남구 논현동 242-29,010-9970-8265,PC방,None,,None,None,4.29,None,None,http://ldb.phinf.naver.net/20200427_249/1587986806376yGXrB_JPEG/0ZGbVurSd7uBgzUwf8ToXpbB.jpg
None,앤비 PC CAFE,서울 강남구 세곡동 581 강남리더스프라자 3층 304호,070-8876-0547,PC방,None,,None,None,4.65,None,None,http://ldb.phinf.naver.net/20150831_222/14409920322664JwE9_JPEG/156660433340631_0.jpeg
None,네오PC방,서울 강남구 역삼동 681-51 예전빌딩 지하1층,010-7605-4803,PC방,None,,None,None,4.69,None,None,http://ldb.phinf.naver.net/20190930_137/1569837346586Fwa6H_JPEG/xIQFvOwXU7a7_amxj1GpmW7h.jpg
None,이로운친구,서울 강남구 대치동 987-16 지하 1층,010-6666-6666,PC방,None,,None,None,None,None,None,None
None,PeaK PC방 역삼,서울 강남구 역삼동 723-7 지하1층,02-554-4445,PC방,None,,None,None,4,None,None,http://ldb.phinf.naver.net/20190107_220/1546872660851BP6EQ_JPEG/SNvDy5YzB7_wPurdXF0hDCPx.jpg
None,오즈아레나PC카페,서울 강남구 자곡동 635 1층,070-4047-8824,PC방,None,,None,None,4.46,None,None,http://ldb.phinf.naver.net/20190524_39/15586892119461Uzdn_JPEG/UeIIExHSJb4HqocHDcao4wGp.jpg
None,맥스피드PC방논현점,서울 강남구 논현동 95,None,PC방,None,,None,None,3.5,None,None,http://ldb.phinf.naver.net/20190517_163/1558081392800siPzM_JPEG/Gu1RyHLwqDTPXLURDgYkvoTT.jpeg.jpg
None,필드PC방,서울 강남구 청담동 132-15 인재빌딩 지하1층 필드PC방,070-8787-8900,PC방,None,,None,None,4.17,None,None,http://ldb.phinf.naver.net/20190314_220/1552489973338BYGot_JPEG/MRtOdzMHRM8QXyfvA7EYaxhX.jpg
None,3POP PC CAFE 역삼점,서울 강남구 역삼동 735-37 삼정빌딩 지하2층,02-9766-4716,PC방,None,,None,None,4.65,None,None,http://ldb.phinf.naver.net/20191105_227/15728872774289GDg3_JPEG/2bxNkHoiTySNmxirygNasRVA.jpg
None,3pop pc 방,서울 강남구 역삼동 822-2,None,PC방,None,,None,None,4.36,None,None,http://ldb.phinf.naver.net/20191012_269/15708727515178K5dj_JPEG/k3C0huanpS9UsZC37tzmjF-f.jpg
None,시그니처아레나PC방 도곡점,서울 강남구 도곡동 411-14,None,PC방,None,,None,None,4.17,None,None,http://ldb.phinf.naver.net/20190414_283/1555231829748Biszw_PNG/XDWeYtVLDG6NyikE9j-zfAOF.png
None,갤럭시pc방,서울 강남구 자곡동 636,070-4118-0547,PC방,None,,None,None,4.72,None,None,http://ldb.phinf.naver.net/20171025_7/1508929941107PBYaW_JPEG/RW2nhjUWDmxLNpztzGUz0btC.jpg
None,3POP PC CAFE,서울 강남구 논현동 127-14,010-0987-0987,PC방,None,,None,None,4.67,None,None,None
None,피에스타PC방 강남 압구정본점,서울 강남구 신사동 581-15,None,PC방,None,,None,None,3.88,None,None,http://ldb.phinf.naver.net/20200501_93/1588312560827LDXK1_JPEG/2LBhG2fN9_PB69qNkyRVeHZ2.jpg
None,쉐빌로뜨당구클럽,서울 강남구 논현동 203,02-414-0100,당구장,None,,None,None,4.33,None,None,http://ldb.phinf.naver.net/20191030_81/15724370786969fKpU_JPEG/mMJ8dYV7jpzXoiORdmgKmF2W.jpg
None,벤투스캐롬클럽,서울 강남구 논현동 117-7,02-518-1194,당구장,None,,None,None,4.36,None,None,http://ldb.phinf.naver.net/20170823_37/15034666277193UF7I_JPEG/xDOO6Qtu1TO72G0c3zaJnOHC.jpg
None,올리브당구장,서울 강남구 역삼동 824-11,070-8877-3949,당구장,None,,None,None,4.88,None,None,http://ldb.phinf.naver.net/20171127_153/1511760017575zCoPE_JPEG/XUs0tqrFRsH3uffWTXzybyAp.jpg
